Player,embedding
Niklas Hjalmarsson,"[0.11226609754906837,0.13156141560853338,0.12291491366882519,0.14854976019394947,0.09783549734448098,0.08811431514078903,0.11969292265712997,0.1482296617852406,0.10929003396970091,0.09733358857965715,0.10815276155059028,0.10180148578406771,0.09003124383669656,0.12950594288282416,0.06788875727680291,0.16086498347511788,0.1414452350327568,0.0362808890613255,0.17436376013305802,0.117762870757672,0.13425151064073088,0.0970823666854344,0.149711407261594,0.15229347118621703,0.14225503343450493,0.09223826903860394,0.06411886762973226,0.16390806803215066,0.0985941124728342,0.12641331930110564,0.11746818009875637,0.09244866801045201,0.15459155872572786,0.14569623787083916,0.18191265929533298,0.1005023941536985,0.1357438287331696,0.08910856284457953,0.10584936485581803,0.14734437187678667,0.09890674202359546,0.1297088176361196,0.11784708787201521,0.11975669455675346,0.12204814300647725,0.1050181205890221,0.09852166479649391,0.15549365757580827,0.09560757492318919,0.1491705203652257,0.14692654022198812,0.07067838340312803,0.10325500407235659,0.11466569763783695,0.15102585577309868,0.09604251588034407,0.16193962987931107,0.09517303730352865,0.15309280552001564,0.18681433216349844,0.13360619807955001,0.08342971121317452,0.1756910786863296,0.093040800965523]"
Brent Seabrook,"[0.11225703666197284,0.1316155496226385,0.12297527309236009,0.14862147653311247,0.0978045433324095,0.0880247442157519,0.11961690432288886,0.14818536897577572,0.1092268968297474,0.09730878762246632,0.10801454425797104,0.10180908028395697,0.08998059135384516,0.12941302507192598,0.06785677669743523,0.16093123746044288,0.1415467537170279,0.03623501738606651,0.17451119143862723,0.1178460571441114,0.1343824765446993,0.09693488205939825,0.1496496803598333,0.1523811607387379,0.14231587415144542,0.09212368691517452,0.0640707608090492,0.16389634722236976,0.09857735945206444,0.12650876799013192,0.11733026341584764,0.09255732218690046,0.15456605917185556,0.14578671840397497,0.18199719850033236,0.10046152314075217,0.13564184006747756,0.08903711548091323,0.10578078274430527,0.1474329788921443,0.09889755493995585,0.12962233248340285,0.117808923886493,0.11972511594792587,0.12201267507750696,0.10507892125039721,0.09839335020352119,0.15563586665096993,0.0954596818908289,0.14921758058896875,0.14684178326971029,0.0705856751824048,0.10329128607889676,0.11464779085878234,0.15096969723838238,0.09595196533427891,0.16187072928217922,0.09501223167634235,0.1530634803381886,0.18691916304730738,0.13369437428064834,0.08335701598857966,0.1758825123036204,0.09301144774917483]"
Richard Panik,"[0.11228248166883197,0.1314917650627673,0.12279852340000985,0.1484308568009617,0.09790499780177668,0.0882893355272221,0.11983174091654245,0.14829222076824225,0.10940963032646792,0.09738571555454764,0.10838551156871594,0.10180994109380942,0.09012349147053335,0.1297011827902842,0.06794948706973085,0.1607268191316967,0.14128992150385328,0.03638667685220875,0.17410456868619523,0.1176243599713737,0.13404112936278678,0.09735133119120562,0.14981651665839416,0.15215412119214297,0.14214399171469685,0.0924530616137496,0.06421396271498589,0.16388546575870597,0.09866302367836215,0.12623055330612906,0.11768801759615838,0.09225219590351914,0.15462352867562895,0.14554121308529172,0.18175857994412306,0.10060464879589931,0.13590200962214657,0.0892488826017256,0.10598409514146243,0.14717635478308685,0.09891361410112591,0.12981497923857993,0.11789236878269005,0.11982075556582993,0.12211904376566832,0.10491727815118573,0.09878645294141318,0.15523743587998107,0.09587013527406679,0.14905788057832722,0.1470713184338861,0.07086128586237138,0.10321273267595928,0.11469569439228168,0.15112672068758778,0.09620632177853858,0.1620283817025473,0.09543648921697473,0.15312369853337465,0.1866186834946526,0.13342876241727053,0.08359005959909141,0.17537677186324602,0.09310328474137197]"
Jonathan Toews,"[0.11224106081350224,0.13169948258408917,0.12308689629376078,0.14874395218815753,0.09774284811186713,0.08785638358893964,0.11948113280065292,0.14811454785594605,0.10910910935285494,0.09725966459250653,0.10777449868236236,0.10181274253646615,0.08988761159187646,0.12923059495941558,0.06779829894146457,0.16106065960933408,0.14171467179141792,0.03614081902268689,0.17477179933910003,0.11798929450435498,0.13460610315692337,0.096667299680999,0.14954304105017868,0.1525281856914821,0.14242428620518344,0.09191346443538821,0.06398039070256692,0.16389650685774745,0.09852609203297946,0.12668585980167837,0.11709610702965202,0.09275278255452396,0.15452892151244838,0.14594381083453153,0.1821487488788569,0.10037341416240238,0.13547133041573128,0.08890373310907429,0.10565123791545514,0.14759640358687526,0.09888412932167073,0.1294910547229935,0.11775227273196079,0.11966501704828636,0.12194545299757781,0.10518255412866614,0.09814480358927384,0.15589060521303313,0.09519766456163929,0.14931470866304922,0.14669329832316294,0.07041315031719979,0.1033456589246771,0.11461790834824023,0.15086762298566453,0.095790523235852,0.16176471102054216,0.09473668763552621,0.15302215601875202,0.18710957738186904,0.13386260403887928,0.08321215331347824,0.1762101889101222,0.09295494141536415]"
Duncan Keith,"[0.11225320379876133,0.1316350099894735,0.12300197384247259,0.14865055840491384,0.0977896015605897,0.0879845533393545,0.11958438530908098,0.14816873797400898,0.10919890999599169,0.09729715740244811,0.10795770433970157,0.10180953257119277,0.08995863088593582,0.12936931330769721,0.0678428108759337,0.1609622053588039,0.14158634180908813,0.036212257019085654,0.17457312728748067,0.1178799676276709,0.13443515355804692,0.0968713227247502,0.14962434409969075,0.15241594978452608,0.142341772627061,0.09207357428170124,0.06404912246970304,0.16389711551917627,0.0985647053780663,0.1265510700562534,0.11727509034592416,0.09260386127087634,0.1545572494498361,0.14582406937487638,0.1820333274676622,0.10044011741277556,0.13560172339552956,0.08900511223345475,0.10574983814367896,0.14747195302210558,0.09889470634016154,0.12959200262995751,0.11779585440611083,0.1197106582312813,0.12199655821469682,0.10510354337119543,0.0983338094023102,0.15569645377360306,0.09539729488441197,0.1492412182778057,0.14680656810711246,0.07054423798882613,0.10330381650398689,0.114640641483671,0.15094552773457173,0.09591342136930378,0.16184604609375994,0.09494710659146079,0.15305399165632055,0.1869646337955336,0.1337346322230493,0.0833220497254995,0.17596001894885735,0.0929978080543923]"
Patrick Kane,"[0.11226376627570225,0.1315733658732613,0.12292983703025548,0.14856704257560163,0.09782736248941974,0.08809247722607519,0.11967389303700503,0.14821933909402574,0.1092749923602716,0.09732773349454427,0.10811986762005842,0.10180231202220921,0.09001946051361157,0.1294830278502271,0.06788082487562197,0.16088113578031724,0.1414690519470846,0.03626918806455982,0.1743991802040502,0.11778268033441097,0.13428192950794052,0.0970470725460504,0.1496963330721097,0.1523143428906987,0.14227010542083834,0.09221043213823474,0.06410693140141695,0.16390670311997324,0.0985893487219913,0.12643664250127823,0.11743597371761451,0.09247503085894955,0.15458520378370474,0.1457181639208455,0.18193325753835363,0.1004916730430245,0.1357200133042912,0.0890906726443589,0.10583262391087914,0.14736590184638207,0.09890537448437409,0.12968972363883907,0.11783858892927908,0.11974869223318711,0.12203928454119427,0.10503287238134407,0.09849002917833223,0.15552797248550393,0.09557156880708027,0.14918304997621873,0.14690625400647053,0.07065500454327629,0.10326282970297092,0.11466110594656072,0.1510126183040501,0.09602016490498759,0.1619239799426914,0.09513505302615319,0.15308627360583163,0.18683997700233612,0.13362784273408698,0.08341110757944194,0.17573625693638995,0.09303314832569892]"
Vinnie Hinostroza,"[0.11225378629471207,0.13162610503357317,0.12300089697005318,0.1486443687162825,0.09778802159632059,0.08798498100354821,0.11958814804030979,0.1481750548753794,0.10919973955823666,0.09729611513791607,0.10796793393442125,0.10180430497379549,0.08996004320065737,0.12936607939830372,0.067843736020076,0.1609643292217065,0.14157483744240068,0.036208556890360434,0.17456472756708005,0.11787326652915993,0.1344235942010204,0.0968766788218452,0.14962918485178062,0.15240703746358583,0.14233876526980668,0.09207658606757406,0.06404935423422468,0.1639080804310526,0.09855528317788076,0.12654954488302206,0.11728798663151746,0.09259907232487875,0.15456259759294522,0.14581750128369642,0.1820295929113982,0.10043486515737278,0.1356125634436132,0.089005852244724,0.10574991333835022,0.1474701214876001,0.09889675191125494,0.12960771350439626,0.11780340239140981,0.11971047817695624,0.12199649427233376,0.10509817605404609,0.09833084231170477,0.15568989469744426,0.09540559342312364,0.14924537909202226,0.1468123081207802,0.0705453464043913,0.1032969067886847,0.11464254356832639,0.15094761462305634,0.09591801646283826,0.16185787232832397,0.09496076215810935,0.15306087603310908,0.1869612209192169,0.13373547708419814,0.08331835136751334,0.1759439033169223,0.0929972640278733]"
Nick Schmaltz,"[0.11223393225913672,0.13174308101513443,0.12313198558613671,0.14879969199290066,0.09772041145377336,0.08779009315120107,0.11942281369532107,0.1480788506679739,0.10906222971844129,0.097241934036658,0.10766786551105291,0.10182032540134581,0.08984979743614946,0.12916340272873045,0.06777413783697338,0.16110830368050977,0.14179465630880386,0.03610859552827666,0.1748839982404366,0.1180536828202121,0.13470754236110863,0.09655626904253317,0.149494955320298,0.15259687360316948,0.1424706627056371,0.09182751793378585,0.06394466041777078,0.1638830736865838,0.09851797846726733,0.12675698711029107,0.11698864866867079,0.09283533345029092,0.1545072417322203,0.14601360794333795,0.18221266697306673,0.10034538915043778,0.13539113783313575,0.08885036564102788,0.1056005214721614,0.1476624852036594,0.09887673111688307,0.12942040286205228,0.11772071120685343,0.11964154625905661,0.12191910640016777,0.10522999675073895,0.09805145671601617,0.15599830468190193,0.09508454369987149,0.149347788289339,0.14662796467263525,0.07034386468897015,0.10337525987502086,0.11460354333612752,0.15082526415536637,0.0957212635500665,0.16170845241703702,0.09461203564768554,0.1529973120619757,0.18718825449140367,0.1339272079267927,0.08315987429182949,0.17635795232029217,0.09293322840358542]"
Artem Anisimov,"[0.11225559564787184,0.13161822383033875,0.1229872619151599,0.14863089514997643,0.09779618171398004,0.08800592354390216,0.11960396793582488,0.1481820247585118,0.10921424722443125,0.09730257553166641,0.10799491767846107,0.1018053651679745,0.0899712777566923,0.12938987582902656,0.06785075898600522,0.16094747272998527,0.14155724608628684,0.03622144763661388,0.1745345991067305,0.11785734378211744,0.13439901785821956,0.09690858470741824,0.14964104596977687,0.152391298815424,0.14232612059715194,0.09210199280027691,0.0640605809590705,0.16390480984807934,0.09856451855048536,0.1265278355560622,0.11731345708361975,0.09257605646337351,0.15456560874431297,0.145799816545536,0.1820117414256162,0.1004474433863129,0.13563066220961215,0.08902229583522321,0.10576610267450857,0.14745020945915852,0.09889785369408453,0.12961947687218286,0.11780823529490397,0.11971803399929296,0.12200490976362541,0.10508682755076133,0.09836283708204885,0.15565996842311142,0.09543587545011038,0.14923201317948126,0.14682916632785592,0.07056656177070891,0.10329213134426829,0.11464568350847658,0.15095977606184374,0.09593680905319987,0.16186760840707703,0.09499118188318319,0.15306398055376574,0.18693840376971432,0.1337141632004535,0.08333755575925134,0.1759076499829722,0.0930044628446721]"
Artemi Panarin,"[0.11227500716373086,0.13152942185606328,0.12284944549928585,0.1484872600605597,0.09787659952421174,0.08821364017913158,0.11976891846124547,0.14825988451433245,0.10935735483690409,0.09736434759769455,0.10827667614617482,0.10181096924392877,0.09008256849985591,0.12961979864688622,0.06792272872028896,0.1607845752950492,0.14136662384335666,0.036344247418429225,0.1742232940788524,0.11768959275502798,0.13414166343089887,0.09723101465853042,0.1497674257095277,0.1522216684880842,0.14219413088464514,0.09235805300286783,0.06417291426237562,0.1638857944038315,0.0986412672787381,0.12631061671683297,0.11758240459692285,0.09234083441184682,0.15460532381380898,0.1456134124395418,0.18182797426396996,0.10056507746648623,0.13582482160671308,0.08918791042365914,0.10592598122259463,0.1472502405701994,0.09890886683087961,0.1297559759976541,0.11786661657629857,0.11979334874046764,0.12208859858846305,0.10496515012659943,0.09867492840697384,0.15535318639607668,0.09575027335832799,0.1491026805947685,0.14700409889095456,0.07078184563796254,0.10323698018723107,0.1146813809390315,0.15108144651851205,0.09613209251683374,0.16198014148818257,0.09531149279680229,0.15310468474572417,0.18670575812981968,0.13350447611880004,0.08352425344066576,0.17552591947304177,0.09307709690409437]"
