last_name,first_name,communityId
Dahlstrom,Carl,681
Jurco,Tomas,416
Simon,Dominik,681
Aston-Reese,Zach,681
Dal Colle,Michael,681
McKegg,Greg,681
Carey,Paul,533
Smith,Brendan,681
Nosek,Tomas,4
Miller,Colin,681
Tuch,Alex,4
Theodore,Shea,4
Roslovic,Jack,4
Donato,Ryan,4
Chlapik,Filip,721
Helm,Darren,416
Bertuzzi,Tyler,416
White,Colin,721
Kampfer,Steven,721
Leipsic,Brendan,67
Gurianov,Denis,67
Goodrow,Barclay,4
Koekkoek,Slater,4
Witkowski,Luke,681
Poolman,Tucker,681
Kukan,Dean,101
Strome,Dylan,4
Brodzinski,Jonny,4
Iafallo,Alex,4
Andersson,Rasmus,67
Hagg,Robert,416
Terry,Troy,4
Carrier,William,4
Fedun,Taylor,67
Amadio,Michael,4
Tynan,TJ,4
Toninato,Dominic,681
Hunt,Dryden,681
Foegele,Warren,582
Blais,Sammy,101
Szwarz,Jordan,4
Hayden,John,721
Svechnikov,Evgeny,721
Wallmark,Lucas,582
Larsson,Jacob,4
Robinson,Eric,101
Dowling,Justin,67
Johnsson,Andreas,721
Cave,Colby,101
Rooney,Kevin,721
Seeler,Nick,101
Cehlarik,Peter,681
Capobianco,Kyle,101
Greenway,Jordan,4
Gambrell,Dylan,4
Borgstrom,Henrik,582
Gaudette,Adam,4
Brown,Logan,721
Nylander,Alexander,4
Agozzino,Andrew,4
Guhle,Brendan,4
Boyd,Travis,67
Hicketts,Joe,582
Carrick,Trevor,4
Necas,Martin,582
Soucy,Carson,4
Lemieux,Brendan,681
Roy,Nicolas,4
Sautner,Ashton,4
Mittelstadt,Casey,681
Niku,Sami,681
Morin,Samuel,681
Holl,Justin,721
Kylington,Oliver,67
Kovalchuk,Ilya,4
Brannstrom,Erik,582
Tkachuk,Brady,721
Sabourin,Scott,721
Batherson,Drake,681
Timashov,Dmytro,721
Mikheyev,Ilya,721
Moore,Trevor,721
Sandin,Rasmus,721
Siegenthaler,Jonas,67
Fehervary,Martin,582
Thomas,Robert,101
Hughes,Quinn,416
Pettersson,Elias,416
Haas,Gaetan,416
Nygard,Joakim,416
Yurtaykin,Danil,4
Ferraro,Mario,4
Radil,Lukas,4
Bergmann,Lean,4
Glass,Cody,4
Brown,Josh,681
Verhaeghe,Carter,721
Cernak,Erik,681
Joseph,Mathieu,681
Appleton,Mason,681
Heinola,Ville,681
Hajek,Libor,681
Fox,Adam,681
Howden,Brett,681
Kakko,Kaapo,681
Olofsson,Victor,681
Dahlin,Rasmus,681
Jokiharju,Henri,681
Blueger,Teddy,681
Kahun,Dominik,681
Kotkaniemi,Jesperi,416
Suzuki,Nick,721
Fleury,Cale,101
Svechnikov,Andrei,582
Fabbro,Dante,4
Lindholm,Par,721
Kuhlman,Karson,4
Clifton,Connor,721
Hintz,Roope,67
Heiskanen,Miro,67
Graves,Ryan,67
Timmins,Conor,4
Makar,Cale,67
Garland,Conor,101
Jones,Max,4
Steel,Sam,4
Gilbert,Dennis,4
Kubalik,Dominik,4
Twarynski,Carsen,721
Bunnaman,Connor,416
Hughes,Jack,681
Gusev,Nikita,681
Toews,Devon,681
Texier,Alexandre,101
Bemstrom,Emil,101
Lilja,Jakob,101
Hague,Nicolas,4
Middleton,Jacob,4
Boqvist,Jesper,681
Hawryluk,Jayce,582
Gavrikov,Vladislav,67
Gardner,Rhett,67
Caamano,Nick,67
Hronek,Filip,416
Ehn,Christoffer,4
Cholowski,Dennis,721
Hirose,Taro,416
Lundestrom,Isac,681
Lizotte,Blake,4
Roy,Matt,4
Wagner,Austin,4
Bjornfot,Tobias,416
Walker,Sean,4
Russell,Patrick,416
Persson,Joel,681
Dobson,Noah,582
Marino,John,681
Lafferty,Sam,681
L'Esperance,Joel,67
Lewington,Tyler,67
Grundstrom,Carl,4
Johnson,Adam,67
Abramov,Vitaly,721
Hayton,Barrett,67
Comtois,Max,4
Gauthier,Julien,582
MacEachern,Mackenzie,67
Wahlstrom,Oliver,681
Mayhew,Gerald,721
Gustafsson,David,4
Riikola,Juuso,681
Lyubushkin,Ilya,721
Bischoff,Jake,67
Bardreau,Cole,681
Trenin,Yakov,681
Gregor,Noah,4
Dach,Kirby,4
Vorobyev,Mikhail,681
Farabee,Joel,721
Beaudin,J.C.,582
Stillman,Riley,67
Smith,Givani,416
Richard,Anthony,709
Prokhorkin,Nikolai,4
Lindgren,Ryan,681
Mahura,Josh,4
Volkov,Alexander,681
Rubtsov,German,582
Myers,Philippe,721
Suess,CJ,4
Sherwood,Kole,67
Boqvist,Adam,4
Hughes,Cameron,681
Senyshyn,Zach,721
Poehling,Ryan,721
Simek,Radim,4
Luostarinen,Eetu,721
Davidsson,Jonathan,582
Luoto,Joona,67
Vaakanainen,Urho,721
Luff,Matt,4
Jones,Caleb,67
Frederic,Trent,721
Asplund,Rasmus,730
Koivula,Otto,731
Kostin,Klim,732
