last_name,first_name,score
DeBrincat,Alex,1.0319510183646345
Ekholm,Mattias,1.0300493026443294
Athanasiou,Andreas,1.0292614858713933
Gudbranson,Erik,1.0288558084575927
Landeskog,Gabriel,1.0287026142352262
McGinn,Brock,1.0270625584118533
Skinner,Jeff,1.026951855310472
Ehlers,Nikolaj,1.0261774596350735
Brannstrom,Erik,1.0243097470432987
Girard,Samuel,1.0224624549911825
Lindblom,Oskar,1.0192771238158456
Cernak,Erik,1.0188423327403144
Ferraro,Mario,1.0171342060435564
Duclair,Anthony,1.016989149322035
Subban,P.K.,1.015836150868563
Weegar,MacKenzie,1.013492194097489
Vlasic,Marc-Edouard,1.0132140509027525
Lewis,Trevor,1.011550858130795
Gallagher,Brendan,1.0088310664461462
Granlund,Mikael,1.007326501555508
Gustafsson,Erik,1.0062730982317587
Buchnevich,Pavel,1.0062075672845823
Fleury,Cale,1.00381429005065
Johnson,Tyler,1.0030503589543514
Morrissey,Josh,1.0030066114268266
Bjugstad,Nick,1.0025966648827307
Foegele,Warren,1.0004822428105398
Lee,Anders,1.0002043204789512
Boeser,Brock,0.9995320312620607
Hunt,Dryden,0.9963268947380128
Palat,Ondrej,0.9951826330448965
Dadonov,Evgenii,0.994838898690068
Palmieri,Kyle,0.9942805980623235
Andersson,Rasmus,0.9932290380354971
Richardson,Brad,0.9918344659614379
Dickinson,Jason,0.989255277765915
Gostisbehere,Shayne,0.9891617858607787
Oleksiak,Jamie,0.9856987235310956
Mangiapane,Andrew,0.9847632349061315
Dunn,Vince,0.9832090573443567
Atkinson,Cam,0.9783984746085479
Marner,Mitchell,0.9775742226396688
Hutton,Ben,0.973512299283175
Suter,Ryan,0.9728190177760553
Jokiharju,Henri,0.970663571561454
Radulov,Alexander,0.9675653392332605
Parise,Zach,0.9633334747457409
Virtanen,Jake,0.9621263130684383
Fox,Adam,0.9608831607911268
Wagner,Austin,0.9598968104110098
Butcher,Will,0.9585586083121598
Pitlick,Tyler,0.9579368605394848
Toews,Devon,0.9553592632117215
Bitetto,Anthony,0.9535946179617895
Zucker,Jason,0.9515550832904408
Sanheim,Travis,0.9506592445482964
Arvidsson,Viktor,0.9433657957764806
Krug,Torey,0.9430627452151383
Smith,Zack,0.9429686167452017
Tatar,Tomas,0.9424359731026924
Caggiula,Drake,0.9422765304916538
Hughes,Quinn,0.9386838387115858
Burakovsky,Andre,0.9386229781492147
Vatanen,Sami,0.9382133551815061
Stone,Mark,0.9358109596738358
Helm,Darren,0.9356940726516769
Fast,Jesper,0.9345343718130608
Kubalik,Dominik,0.9333460217982064
Donskoi,Joonas,0.9321245968341827
Ekblad,Aaron,0.9282983560289721
Okposo,Kyle,0.9255224242864641
Vrana,Jakub,0.9201170146407094
Larsson,Jacob,0.9201102267601529
Brown,Josh,0.918288006336661
Reinhart,Sam,0.9145444773952477
Sekera,Andrej,0.914061483432306
Donato,Ryan,0.9126996991457418
Soucy,Carson,0.912184314642218
Saad,Brandon,0.9091216218366753
Hedman,Victor,0.9083708658406977
Yandle,Keith,0.9068686034879645
Lindholm,Hampus,0.9058490841533059
Severson,Damon,0.9030083593563176
Jones,Max,0.9026090140454472
Erne,Adam,0.9025924030982424
Anderson,Josh,0.8997502005862771
Marleau,Patrick,0.8991458135773428
Brown,Connor,0.8988035809830763
McDonagh,Ryan,0.8951047746028051
Rakell,Rickard,0.8949015978229002
Kucherov,Nikita,0.893092287701438
Leivo,Josh,0.8916796520992647
Perreault,Mathieu,0.8912913302541712
Hainsey,Ron,0.8906623592076357
Sceviour,Colton,0.888088939478621
Bouwmeester,Jay,0.8874538188974838
Teravainen,Teuvo,0.8852862437139265
Bourque,Gabriel,0.8850949997780845
Laughton,Scott,0.8838691801123785
Kane,Patrick,0.8820341217215171
Spezza,Jason,0.879807303956477
Voracek,Jakub,0.8795808704453519
Frolik,Michael,0.879243265389232
Kase,Ondrej,0.8778085686557463
Drouin,Jonathan,0.8719067468191496
Simon,Dominik,0.8698538381519028
Beauvillier,Anthony,0.8693710333376657
Bemstrom,Emil,0.8680842494562968
Beaudin,J.C.,0.8657544856163438
Hague,Nicolas,0.8609916617162523
Wood,Miles,0.8607061496877576
Smith,Brendan,0.860645986595773
Garland,Conor,0.858747008658247
Lindholm,Par,0.8584631961974083
Poolman,Tucker,0.8583597888529767
Cogliano,Andrew,0.8581325344770449
Johnsson,Andreas,0.8555161580530694
Bowey,Madison,0.8549791525118053
Hagg,Robert,0.8541482009284664
Kempny,Michal,0.8536662294965935
Dach,Kirby,0.8515376893512439
Russell,Patrick,0.8504653469135521
Terry,Troy,0.8502694461494683
Del Zotto,Michael,0.850156912516104
van Riemsdyk,James,0.8485824360279365
Dowling,Justin,0.848245796802803
Niederreiter,Nino,0.8476383319590238
Hoffman,Mike,0.8475306482112502
Smith,Reilly,0.8466212074854413
Granlund,Markus,0.8463342864648439
Toffoli,Tyler,0.8457890980527735
Iafallo,Alex,0.8407083408586912
Witkowski,Luke,0.8375475856562844
Joseph,Mathieu,0.8359523580758831
Malkin,Evgeni,0.8331799297651741
Chiasson,Alex,0.8327166248316643
Byron,Paul,0.8295523396285716
Dzingel,Ryan,0.828929883995443
