first_player,second_player,faceoffs_together_count
Joe Thornton,David Kampf,4
Matt Duchene,David Kampf,4
Ryan Johansen,David Kampf,4
William Karlsson,David Kampf,4
Cam Atkinson,David Kampf,4
Andrew Copp,David Kampf,4
Michael Raffl,David Kampf,4
Adam Lowry,Tomas Nosek,4
Sean Kuraly,Tomas Nosek,4
Mika Zibanejad,Colin White,4
Ryan Strome,Colin White,4
Auston Matthews,Colin White,4
Nick Bonino,Barclay Goodrow,4
Tomas Nosek,Barclay Goodrow,4
Nick Shore,Dylan Strome,4
Sidney Crosby,Dylan Strome,4
Bo Horvat,Dylan Strome,4
Brandon Sutter,Dylan Strome,4
Barclay Goodrow,Dylan Strome,4
Joe Thornton,Dylan Strome,4
Derek Grant,Dylan Strome,4
Ryan Getzlaf,Dylan Strome,4
Jeff Carter,Dylan Strome,4
Nicklas Backstrom,Dylan Strome,4
Artem Anisimov,Michael Amadio,4
Chris Tierney,Michael Amadio,4
Auston Matthews,Michael Amadio,4
Derek Ryan,Michael Amadio,4
Johan Larsson,Michael Amadio,4
Lars Eller,Dominic Toninato,4
Victor Rask,Lucas Wallmark,4
Jack Eichel,Lucas Wallmark,4
Claude Giroux,Lucas Wallmark,4
Mikael Backlund,Lucas Wallmark,4
Ryan Getzlaf,Lucas Wallmark,4
Joe Thornton,Lucas Wallmark,4
Christian Dvorak,Colby Cave,4
Colin White,Kevin Rooney,4
Brandon Sutter,Kevin Rooney,4
J.T. Miller,Kevin Rooney,4
Sebastian Aho,Kevin Rooney,4
Travis Konecny,Kevin Rooney,4
Anthony Cirelli,Kevin Rooney,4
Derek Stepan,Kevin Rooney,4
Charlie Coyle,Kevin Rooney,4
Riley Sheahan,Kevin Rooney,4
Johan Larsson,Dylan Gambrell,4
Valtteri Filppula,Paul Stastny,3
Nicklas Backstrom,Paul Stastny,3
Evgeny Kuznetsov,Paul Stastny,3
Tom Wilson,Paul Stastny,3
Mark Scheifele,Paul Stastny,3
Max Domi,Paul Stastny,3
Derek Grant,Paul Stastny,3
Ryan Getzlaf,Paul Stastny,3
J.T. Compher,Paul Stastny,3
Claude Giroux,Paul Stastny,3
Kyle Turris,Paul Stastny,3
Colton Sissons,Paul Stastny,3
Elias Lindholm,Paul Stastny,3
Nick Schmaltz,Paul Stastny,3
Derek Stepan,Paul Stastny,3
Tomas Hertl,Paul Stastny,3
Brandon Sutter,Jaden Schwartz,3
Dylan Larkin,Cody Eakin,3
Valtteri Filppula,Cody Eakin,3
Lars Eller,Cody Eakin,3
Evgeny Kuznetsov,Cody Eakin,3
Nic Dowd,Cody Eakin,3
Auston Matthews,Cody Eakin,3
Pierre-Luc Dubois,Cody Eakin,3
Bryan Little,Cody Eakin,3
Ryan Getzlaf,Cody Eakin,3
Carter Rowney,Cody Eakin,3
Nick Bonino,Cody Eakin,3
Colton Sissons,Cody Eakin,3
Sean Monahan,Cody Eakin,3
Nico Hischier,Nick Paul,3
Sebastian Aho,Nick Paul,3
Dylan Larkin,Nick Paul,3
Paul Stastny,Nick Paul,3
Tyler Seguin,Nick Paul,3
Evgeny Kuznetsov,Nate Thompson,3
Alexander Wennberg,Nate Thompson,3
Riley Nash,Nate Thompson,3
Sean Kuraly,Nate Thompson,3
David Krejci,Nate Thompson,3
Charlie Coyle,Nate Thompson,3
Jason Dickinson,Nate Thompson,3
Christian Dvorak,Nate Thompson,3
Frederik Gauthier,Nate Thompson,3
Auston Matthews,Nate Thompson,3
Jason Spezza,Nate Thompson,3
Luke Kunin,Nate Thompson,3
Oskar Sundqvist,Nate Thompson,3
William Nylander,Nate Thompson,3
Jordan Staal,Nate Thompson,3
Jean-Gabriel Pageau,Oskar Lindblom,3
Derek Ryan,Ivan Barbashev,3
Joel Eriksson Ek,Ivan Barbashev,3
Nazem Kadri,Ivan Barbashev,3
Alexander Kerfoot,Ivan Barbashev,3
William Nylander,Ivan Barbashev,3
Evgeny Kuznetsov,Vladimir Sobotka,3
Carl Soderberg,Vladimir Sobotka,3
Logan Couture,Vladimir Sobotka,3
Adam Henrique,Vladimir Sobotka,3
Ryan Getzlaf,David Kampf,3
Kyle Turris,David Kampf,3
Evgeny Kuznetsov,David Kampf,3
Paul Stastny,Zack Smith,3
John Tavares,Zack Smith,3
Justin Abdelkader,Greg McKegg,3
Nate Thompson,Tomas Nosek,3
Sean Couturier,Tomas Nosek,3
Sidney Crosby,Tomas Nosek,3
Chris Tierney,Tomas Nosek,3
Mark Jankowski,Tomas Nosek,3
Derek Stepan,Tomas Nosek,3
David Krejci,Tomas Nosek,3
Brayden Schenn,Ryan Donato,3
Michael Raffl,Colin White,3
Christian Dvorak,Colin White,3
Derek Stepan,Colin White,3
Paul Stastny,Colin White,3
Cody Eakin,Colin White,3
Joel Eriksson Ek,Colin White,3
Tyler Johnson,Colin White,3
Yanni Gourde,Colin White,3
William Nylander,Barclay Goodrow,3
Sean Monahan,Barclay Goodrow,3
Jonathan Marchessault,Barclay Goodrow,3
Jason Spezza,Dylan Strome,3
Frederik Gauthier,Dylan Strome,3
Logan Couture,Dylan Strome,3
Ryan Johansen,Dylan Strome,3
Lars Eller,Dylan Strome,3
Alexander Wennberg,Dylan Strome,3
Boone Jenner,Dylan Strome,3
Ryan Nugent-Hopkins,Dylan Strome,3
Jonathan Toews,Michael Amadio,3
Victor Rask,Michael Amadio,3
Tyler Bozak,Michael Amadio,3
Matt Duchene,Michael Amadio,3
Kyle Turris,Michael Amadio,3
Nick Bonino,Michael Amadio,3
Sean Monahan,Warren Foegele,3
Eric Staal,Lucas Wallmark,3
Jean-Gabriel Pageau,Lucas Wallmark,3
Nick Paul,Lucas Wallmark,3
Travis Zajac,Lucas Wallmark,3
Alexander Wennberg,Lucas Wallmark,3
Derek Grant,Lucas Wallmark,3
Logan Couture,Lucas Wallmark,3
Adrian Kempe,Lucas Wallmark,3
Anthony Cirelli,Lucas Wallmark,3
Steven Stamkos,Lucas Wallmark,3
Chandler Stephenson,Lucas Wallmark,3
Blake Wheeler,Justin Dowling,3
Artem Anisimov,Justin Dowling,3
Oskar Sundqvist,Colby Cave,3
Jay Beagle,Kevin Rooney,3
Erik Haula,Kevin Rooney,3
Sean Couturier,Kevin Rooney,3
Ryan Strome,Kevin Rooney,3
Scott Laughton,Kevin Rooney,3
Phillip Danault,Jordan Greenway,3
Nick Bonino,Dylan Gambrell,3
Lucas Wallmark,Dylan Gambrell,3
Sam Bennett,Dylan Gambrell,3
Nick Schmaltz,Ryan Getzlaf,3
Jonathan Toews,Derek Grant,3
Nick Schmaltz,Derek Grant,3
Nick Schmaltz,Adam Henrique,3
Nick Schmaltz,Jack Eichel,3
Ryan Getzlaf,Jack Eichel,3
Nick Schmaltz,Ryan O'Reilly,3
Pierre-Edouard Bellemare,Matt Duchene,3
Ryan O'Reilly,Carl Soderberg,3
Gabriel Landeskog,Carl Soderberg,3
Adam Henrique,Bryan Little,3
Jonathan Toews,Adam Lowry,3
Evan Rodrigues,Jordan Staal,3
Travis Konecny,Jordan Staal,3
Adam Henrique,Jordan Staal,3
Pierre-Edouard Bellemare,Eric Staal,3
Jordan Staal,Victor Rask,3
Carl Soderberg,Elias Lindholm,3
Bryan Little,Elias Lindholm,3
Sean Couturier,Elias Lindholm,3
Michael Raffl,Mark Jankowski,3
Nick Schmaltz,Mikael Backlund,3
Adam Henrique,Mikael Backlund,3
Derek Grant,Mikael Backlund,3
Claude Giroux,Mikael Backlund,3
Nathan MacKinnon,Mikael Backlund,3
Riley Nash,Sean Monahan,3
Matt Duchene,Sean Monahan,3
Derek Grant,Sean Monahan,3
Ryan Getzlaf,Sean Monahan,3
Pierre-Edouard Bellemare,Sean Monahan,3
Jack Eichel,Evgeny Kuznetsov,3
Marcus Johansson,Evgeny Kuznetsov,3
Sean Couturier,Nicklas Backstrom,3
Gabriel Landeskog,Nicklas Backstrom,3
Evan Rodrigues,Lars Eller,3
Marcus Johansson,Lars Eller,3
Jack Eichel,Lars Eller,3
Nathan MacKinnon,Lars Eller,3
Pierre-Edouard Bellemare,Lars Eller,3
Adam Henrique,Jay Beagle,3
Carl Soderberg,Phillip Danault,3
Mark Scheifele,Alexander Radulov,3
Mark Jankowski,Tyler Bozak,3
Jay Beagle,Tyler Bozak,3
Lars Eller,Tyler Bozak,3
Nicklas Backstrom,Tyler Bozak,3
Blake Wheeler,Nazem Kadri,3
Sean Monahan,Nazem Kadri,3
Mark Jankowski,Jeff Carter,3
Sam Bennett,Jeff Carter,3
Marcus Johansson,Jeff Carter,3
Matt Duchene,Jeff Carter,3
Jonathan Toews,Trevor Lewis,3
Mikael Backlund,Bo Horvat,3
Riley Nash,Markus Granlund,3
Sean Couturier,Markus Granlund,3
Ryan O'Reilly,Brandon Sutter,3
Adam Henrique,Brandon Sutter,3
Ryan Getzlaf,Brandon Sutter,3
Sean Monahan,Brandon Sutter,3
Nathan MacKinnon,Nick Foligno,3
Mark Jankowski,Nick Foligno,3
Mikael Backlund,Nick Foligno,3
Ryan O'Reilly,Nick Foligno,3
Nathan MacKinnon,Boone Jenner,3
Nazem Kadri,Boone Jenner,3
Carl Soderberg,Boone Jenner,3
Sean Couturier,Boone Jenner,3
Elias Lindholm,Pierre-Luc Dubois,3
Ryan Getzlaf,Pierre-Luc Dubois,3
Derek Grant,Pierre-Luc Dubois,3
Boone Jenner,Alexander Kerfoot,3
Tyler Bozak,Alexander Kerfoot,3
Blake Wheeler,Tyson Jost,3
Derek Grant,Tyson Jost,3
Lars Eller,Tyson Jost,3
Eric Staal,Mark Letestu,3
Pierre-Edouard Bellemare,Leon Draisaitl,3
Adam Henrique,Leon Draisaitl,3
Nick Schmaltz,Leon Draisaitl,3
Carl Soderberg,Leon Draisaitl,3
Boone Jenner,Leon Draisaitl,3
Sean Couturier,Leon Draisaitl,3
Jay Beagle,Leon Draisaitl,3
Brandon Sutter,Leon Draisaitl,3
Nazem Kadri,Ryan Nugent-Hopkins,3
Derek Grant,Ryan Nugent-Hopkins,3
Tyler Bozak,Ryan Nugent-Hopkins,3
Boone Jenner,Ryan Nugent-Hopkins,3
Nicklas Backstrom,Ryan Nugent-Hopkins,3
Evgeny Kuznetsov,Ryan Nugent-Hopkins,3
Jonathan Toews,Ryan Nugent-Hopkins,3
Jordan Staal,Taylor Hall,3
Pierre-Edouard Bellemare,Sidney Crosby,3
Victor Rask,Sidney Crosby,3
Eric Staal,Sidney Crosby,3
Bo Horvat,Nick Bonino,3
Mikael Backlund,Nick Bonino,3
Sean Monahan,Nick Bonino,3
Victor Rask,Nick Bonino,3
Jonathan Toews,Evgeni Malkin,3
Riley Nash,Devin Shore,3
Adam Lowry,Jamie Benn,3
Pierre-Edouard Bellemare,Jamie Benn,3
Phillip Danault,Jamie Benn,3
Ryan Getzlaf,Jamie Benn,3
Sam Bennett,Tyler Seguin,3
Elias Lindholm,Tyler Seguin,3
Derek Grant,Tyler Seguin,3
Artem Anisimov,Tyler Seguin,3
Evgeny Kuznetsov,Tyler Seguin,3
Sean Monahan,Jason Dickinson,3
Nathan MacKinnon,Jason Dickinson,3
Victor Rask,Jason Dickinson,3
Sidney Crosby,Jason Dickinson,3
Chris Wagner,Jason Spezza,3
Riley Nash,Jason Spezza,3
Matt Duchene,Ryan Strome,3
Marcus Johansson,Ryan Strome,3
Brandon Sutter,Ryan Strome,3
Evgeny Kuznetsov,Ryan Strome,3
Lars Eller,Ryan Strome,3
Leon Draisaitl,Ryan Strome,3
Ryan Nugent-Hopkins,Ryan Strome,3
Adam Lowry,Ryan Strome,3
Alexander Kerfoot,Anders Lee,3
Adam Lowry,Anders Lee,3
Jordan Staal,Anders Lee,3
Artem Anisimov,Brock Nelson,3
Boone Jenner,Brock Nelson,3
Nick Foligno,Brock Nelson,3
Jordan Staal,Brock Nelson,3
Jeff Carter,John Tavares,3
Pierre-Luc Dubois,John Tavares,3
Artem Anisimov,Casey Cizikas,3
Mark Scheifele,Casey Cizikas,3
Lars Eller,Casey Cizikas,3
Sean Couturier,Nick Shore,3
Nick Foligno,Nick Shore,3
Eric Staal,Nick Shore,3
Leon Draisaitl,Nic Dowd,3
Mark Jankowski,Nic Dowd,3
Jamie Benn,Nic Dowd,3
Ryan O'Reilly,Nic Dowd,3
Mark Scheifele,Mathew Barzal,3
Adam Lowry,Mathew Barzal,3
Pierre-Luc Dubois,Derek Stepan,3
Elias Lindholm,Derek Stepan,3
Cedric Paquette,Jared McCann,3
Brian Boyle,Jared McCann,3
Adam Lowry,Jared McCann,3
Joel Eriksson Ek,Jared McCann,3
Blake Wheeler,Denis Malgin,3
Brock Nelson,Denis Malgin,3
Nicklas Backstrom,Denis Malgin,3
Lars Eller,Denis Malgin,3
Tyson Jost,Denis Malgin,3
J.T. Miller,Denis Malgin,3
J.T. Miller,Frank Vatrano,3
Blake Wheeler,Aleksander Barkov,3
Sean Kuraly,Aleksander Barkov,3
Jacob de la Rose,Aleksander Barkov,3
Sean Monahan,Aleksander Barkov,3
Blake Coleman,Aleksander Barkov,3
Derick Brassard,Aleksander Barkov,3
Marcus Johansson,Aleksander Barkov,3
Yanni Gourde,Aleksander Barkov,3
Max Domi,Frederik Gauthier,3
Alexander Wennberg,Frederik Gauthier,3
Mikko Koivu,Frederik Gauthier,3
Anthony Cirelli,Jordan Weal,3
Jordan Staal,Jordan Weal,3
Valtteri Filppula,Charlie Coyle,3
Jared McCann,Charlie Coyle,3
Nazem Kadri,Charlie Coyle,3
Tyler Seguin,Charlie Coyle,3
Luke Kunin,Erik Haula,3
Valtteri Filppula,Erik Haula,3
Elias Lindholm,Erik Haula,3
Nick Foligno,Erik Haula,3
Derek Grant,Erik Haula,3
Ryan Getzlaf,Erik Haula,3
Jeff Carter,Erik Haula,3
Nicklas Backstrom,Erik Haula,3
Bo Horvat,Scott Laughton,3
Travis Zajac,Scott Laughton,3
Blake Coleman,Scott Laughton,3
William Nylander,Adrian Kempe,3
John Tavares,Adrian Kempe,3
Bo Horvat,Adrian Kempe,3
Sam Bennett,Adrian Kempe,3
Elias Lindholm,Adrian Kempe,3
Mikael Backlund,Adrian Kempe,3
Derek Ryan,Adrian Kempe,3
Nic Dowd,Kevin Hayes,3
Lars Eller,Kevin Hayes,3
Jason Spezza,Kevin Hayes,3
Sidney Crosby,Kevin Hayes,3
Pierre-Luc Dubois,Kevin Hayes,3
Jamie Benn,Kevin Hayes,3
Leon Draisaitl,Kevin Hayes,3
Chris Tierney,Frans Nielsen,3
Derek Ryan,Frans Nielsen,3
Mark Jankowski,Frans Nielsen,3
Tyler Seguin,Frans Nielsen,3
Jordan Staal,Gustav Nyquist,3
David Krejci,Dylan Larkin,3
Charlie Coyle,Dylan Larkin,3
J.T. Miller,Dylan Larkin,3
Ryan Nugent-Hopkins,Dylan Larkin,3
Jordan Weal,Dylan Larkin,3
Mikael Backlund,Luke Glendening,3
Frederik Gauthier,Luke Glendening,3
Phillip Danault,Luke Glendening,3
Adam Henrique,Luke Glendening,3
Ryan Getzlaf,Luke Glendening,3
Jamie Benn,Luke Glendening,3
Derek Grant,Riley Sheahan,3
Travis Zajac,Riley Sheahan,3
Lars Eller,Riley Sheahan,3
Ryan Strome,Riley Sheahan,3
Mathew Barzal,Riley Sheahan,3
Jay Beagle,Andreas Athanasiou,3
Phillip Danault,Andreas Athanasiou,3
Alexander Kerfoot,Andreas Athanasiou,3
Nick Bonino,Ryan Carpenter,3
Ryan Johansen,Ryan Carpenter,3
Matt Duchene,Ryan Carpenter,3
Claude Giroux,Ryan Carpenter,3
Andrew Copp,Ryan Carpenter,3
Lars Eller,Johan Larsson,3
Evgeny Kuznetsov,Johan Larsson,3
Carl Soderberg,Johan Larsson,3
Christian Dvorak,Johan Larsson,3
Dylan Larkin,Johan Larsson,3
Ryan Getzlaf,Johan Larsson,3
Vincent Trocheck,Johan Larsson,3
Phillip Danault,Johan Larsson,3
Nick Foligno,Johan Larsson,3
Pierre-Luc Dubois,Johan Larsson,3
Steven Stamkos,Lias Andersson,3
Kyle Turris,Lias Andersson,3
Matt Duchene,Lias Andersson,3
Sean Kuraly,Lias Andersson,3
Jay Beagle,Lias Andersson,3
Ryan Nugent-Hopkins,Lias Andersson,3
Artem Anisimov,Lias Andersson,3
Patrice Bergeron,Mika Zibanejad,3
Carl Soderberg,Mika Zibanejad,3
Brandon Sutter,Mika Zibanejad,3
Jay Beagle,Mika Zibanejad,3
Pavel Zacha,Mika Zibanejad,3
Ryan Nugent-Hopkins,Mika Zibanejad,3
Adam Lowry,Mika Zibanejad,3
Anthony Cirelli,Filip Chytil,3
Aleksander Barkov,Filip Chytil,3
Brian Boyle,Filip Chytil,3
Sebastian Aho,Filip Chytil,3
J.T. Miller,Colton Sissons,3
Jacob de la Rose,Colton Sissons,3
Anthony Cirelli,Colton Sissons,3
Steven Stamkos,Colton Sissons,3
Victor Rask,Colton Sissons,3
Luke Kunin,Colton Sissons,3
Noel Acciari,Colton Sissons,3
Christian Dvorak,Colton Sissons,3
Nicklas Backstrom,Colton Sissons,3
Richard Panik,Colton Sissons,3
Vinnie Hinostroza,Jonathan Marchessault,3
David Krejci,Jonathan Marchessault,3
Carl Soderberg,Chris Tierney,3
Nick Schmaltz,Chris Tierney,3
Yanni Gourde,Chris Tierney,3
Tyler Johnson,Chris Tierney,3
Oskar Sundqvist,Chris Tierney,3
Ryan O'Reilly,Chris Tierney,3
Alexander Kerfoot,Chris Tierney,3
Derek Ryan,Joe Pavelski,3
Max Domi,Joe Pavelski,3
Mikko Koivu,Joe Pavelski,3
Sidney Crosby,Joe Pavelski,3
Claude Giroux,Joe Pavelski,3
Matt Duchene,Logan Couture,3
Auston Matthews,Logan Couture,3
Ryan Nugent-Hopkins,Tomas Hertl,3
Brandon Sutter,Tomas Hertl,3
Andrew Copp,Tomas Hertl,3
Marcus Johansson,Tomas Hertl,3
Sean Monahan,Tomas Hertl,3
Elias Lindholm,Tomas Hertl,3
William Karlsson,Tomas Hertl,3
Jason Spezza,Patrice Bergeron,3
Evgeni Malkin,Patrice Bergeron,3
Brayden Schenn,Patrice Bergeron,3
Travis Zajac,Patrice Bergeron,3
Jamie Benn,Patrice Bergeron,3
Phillip Danault,Brad Marchand,3
John Tavares,David Krejci,3
Claude Giroux,David Krejci,3
Sidney Crosby,David Krejci,3
Pierre-Edouard Bellemare,David Krejci,3
Patrice Bergeron,Noel Acciari,3
Mathew Barzal,Noel Acciari,3
William Karlsson,Valtteri Filppula,3
Sebastian Aho,Valtteri Filppula,3
Ryan O'Reilly,Valtteri Filppula,3
Mikael Backlund,Valtteri Filppula,3
Joe Thornton,Calle Jarnkrok,3
Elias Lindholm,Blake Coleman,3
Bo Horvat,Blake Coleman,3
Jack Eichel,Blake Coleman,3
Brandon Sutter,Nico Hischier,3
Steven Stamkos,Nico Hischier,3
Anthony Cirelli,Nico Hischier,3
Tyler Johnson,Nico Hischier,3
Nick Schmaltz,Nico Hischier,3
Carl Soderberg,Nico Hischier,3
Marcus Johansson,Nico Hischier,3
Andrew Copp,Nico Hischier,3
Jay Beagle,Andrew Shaw,3
Nick Bonino,Andrew Shaw,3
Nick Foligno,Derick Brassard,3
Adam Lowry,Derick Brassard,3
Jordan Staal,Derick Brassard,3
Lars Eller,Derick Brassard,3
Nico Hischier,Jean-Gabriel Pageau,3
Josh Bailey,Jean-Gabriel Pageau,3
David Krejci,Jean-Gabriel Pageau,3
Patrice Bergeron,Jean-Gabriel Pageau,3
Jason Dickinson,Jean-Gabriel Pageau,3
Jamie Benn,Jean-Gabriel Pageau,3
Derek Stepan,Jean-Gabriel Pageau,3
Auston Matthews,Jean-Gabriel Pageau,3
Pierre-Edouard Bellemare,Kyle Turris,3
Mikko Koivu,Kyle Turris,3
Victor Rask,Kyle Turris,3
Luke Kunin,Kyle Turris,3
William Karlsson,Kyle Turris,3
Leon Draisaitl,Jacob de la Rose,3
Chris Tierney,Jacob de la Rose,3
John Tavares,Jacob de la Rose,3
Max Domi,Jacob de la Rose,3
Adam Henrique,Jacob de la Rose,3
Brian Boyle,Chandler Stephenson,3
Derek Ryan,Chandler Stephenson,3
Kyle Turris,Chandler Stephenson,3
Mathew Barzal,Chandler Stephenson,3
Oskar Sundqvist,Chandler Stephenson,3
Tyler Bozak,Chandler Stephenson,3
Brian Boyle,T.J. Oshie,3
Mikael Backlund,T.J. Oshie,3
Mark Jankowski,T.J. Oshie,3
Jay Beagle,T.J. Oshie,3
Ryan O'Reilly,T.J. Oshie,3
Jordan Staal,T.J. Oshie,3
Jonathan Toews,Nick Bjugstad,3
Claude Giroux,Nick Bjugstad,3
Jack Eichel,Nick Bjugstad,3
Marcus Johansson,Nick Bjugstad,3
David Krejci,Vincent Trocheck,3
Nazem Kadri,Vincent Trocheck,3
Travis Zajac,Vincent Trocheck,3
Derek Ryan,Jonathan Huberdeau,3
Leon Draisaitl,J.T. Compher,3
Adam Lowry,J.T. Compher,3
Pierre-Luc Dubois,J.T. Compher,3
Boone Jenner,J.T. Compher,3
Joe Pavelski,J.T. Compher,3
Radek Faksa,J.T. Compher,3
Brian Boyle,J.T. Compher,3
Brayden Point,J.T. Compher,3
Mikael Backlund,J.T. Compher,3
Mark Scheifele,Vladislav Kamenev,3
Radek Faksa,Vladislav Kamenev,3
Lars Eller,Kasperi Kapanen,3
Joe Thornton,Ryan Johansen,3
Nathan MacKinnon,Ryan Johansen,3
Valtteri Filppula,Ryan Johansen,3
Ryan Strome,Ryan Johansen,3
Elias Lindholm,Ryan Johansen,3
Jonathan Toews,Ryan Johansen,3
Andrew Shaw,Ryan Johansen,3
Brayden Point,Ryan Johansen,3
Ryan Getzlaf,Ryan Johansen,3
Jason Spezza,Sean Kuraly,3
Max Domi,Sean Kuraly,3
Evgeni Malkin,Sean Kuraly,3
Tyler Bozak,Sean Kuraly,3
Ryan O'Reilly,Sean Kuraly,3
Brayden Schenn,Sean Kuraly,3
Derek Stepan,Sean Kuraly,3
Jonathan Toews,Jared McCann,3
Lucas Wallmark,Henrik Borgstrom,3
Pavel Zacha,Henrik Borgstrom,3
Joe Pavelski,Adam Gaudette,3
Colton Sissons,Adam Gaudette,3
Ryan Johansen,Adam Gaudette,3
Patrice Bergeron,Logan Brown,3
Jonathan Toews,Nicolas Roy,3
Valtteri Filppula,Nicolas Roy,3
Nick Shore,Nicolas Roy,3
Lars Eller,Nicolas Roy,3
Lucas Wallmark,Casey Mittelstadt,3
Erik Haula,Casey Mittelstadt,3
Casey Cizikas,Casey Mittelstadt,3
Lars Eller,Casey Mittelstadt,3
Jacob de la Rose,Casey Mittelstadt,3
Adrian Kempe,Casey Mittelstadt,3
Anze Kopitar,Casey Mittelstadt,3
Alexander Wennberg,Casey Mittelstadt,3
Riley Nash,Casey Mittelstadt,3
Sidney Crosby,Casey Mittelstadt,3
Anthony Cirelli,Brady Tkachuk,3
Mika Zibanejad,Brady Tkachuk,3
Riley Nash,Robert Thomas,3
Joe Pavelski,Elias Pettersson,3
Kevin Rooney,Elias Pettersson,3
Ryan Strome,Elias Pettersson,3
Scott Laughton,Elias Pettersson,3
Sean Couturier,Elias Pettersson,3
Anze Kopitar,Elias Pettersson,3
Evgeni Malkin,Gaetan Haas,3
Frans Nielsen,Gaetan Haas,3
Ryan Carpenter,Cody Glass,3
Tyson Jost,Cody Glass,3
Derek Stepan,Cody Glass,3
Anthony Cirelli,Brett Howden,3
Tyler Johnson,Brett Howden,3
Sebastian Aho,Brett Howden,3
Jack Eichel,Brett Howden,3
Nico Hischier,Teddy Blueger,3
Ryan Strome,Teddy Blueger,3
Brett Howden,Teddy Blueger,3
Mathew Barzal,Teddy Blueger,3
David Krejci,Teddy Blueger,3
Charlie Coyle,Teddy Blueger,3
Connor McDavid,Teddy Blueger,3
Sam Gagner,Teddy Blueger,3
Joe Pavelski,Teddy Blueger,3
Jamie Benn,Teddy Blueger,3
Jonathan Huberdeau,Teddy Blueger,3
Tomas Nosek,Teddy Blueger,3
Cody Eakin,Teddy Blueger,3
William Karlsson,Teddy Blueger,3
Gabriel Landeskog,Teddy Blueger,3
Mikko Koivu,Teddy Blueger,3
Marcus Johansson,Teddy Blueger,3
Alexander Kerfoot,Jesperi Kotkaniemi,3
Brayden Schenn,Jesperi Kotkaniemi,3
Yanni Gourde,Jesperi Kotkaniemi,3
Lars Eller,Nick Suzuki,3
Boone Jenner,Nick Suzuki,3
Michael Amadio,Nick Suzuki,3
Jamie Benn,Nick Suzuki,3
Frederik Gauthier,Nick Suzuki,3
Ryan Donato,Nick Suzuki,3
Ivan Barbashev,Nick Suzuki,3
Nick Shore,Par Lindholm,3
Noel Acciari,Par Lindholm,3
Ivan Barbashev,Par Lindholm,3
J.T. Compher,Roope Hintz,3
Nathan MacKinnon,Roope Hintz,3
Eric Staal,Roope Hintz,3
Nick Bjugstad,Roope Hintz,3
Sidney Crosby,Roope Hintz,3
Jared McCann,Roope Hintz,3
Chris Tierney,Roope Hintz,3
Marcus Johansson,Roope Hintz,3
Jack Eichel,Roope Hintz,3
Evgeny Kuznetsov,Roope Hintz,3
Nicklas Backstrom,Roope Hintz,3
Par Lindholm,Roope Hintz,3
Joe Thornton,Sam Steel,3
Dylan Larkin,Sam Steel,3
Ryan Nugent-Hopkins,Sam Steel,3
Jonathan Toews,Sam Steel,3
William Karlsson,Sam Steel,3
Tyson Jost,Sam Steel,3
Derek Ryan,Sam Steel,3
Jordan Staal,Sam Steel,3
Jack Eichel,Sam Steel,3
Chris Wagner,Sam Steel,3
Charlie Coyle,Sam Steel,3
Connor McDavid,Connor Bunnaman,3
Jean-Gabriel Pageau,Jack Hughes,3
J.T. Miller,Jack Hughes,3
Derek Ryan,Jack Hughes,3
Bryan Little,Jack Hughes,3
Michael Raffl,Jack Hughes,3
Christian Dvorak,Jack Hughes,3
Henrik Borgstrom,Jack Hughes,3
Jack Roslovic,Jack Hughes,3
Tyler Bozak,Rhett Gardner,3
Oskar Sundqvist,Rhett Gardner,3
Valtteri Filppula,Rhett Gardner,3
Derek Grant,Christoffer Ehn,3
Ryan Getzlaf,Christoffer Ehn,3
Paul Stastny,Christoffer Ehn,3
David Krejci,Christoffer Ehn,3
Sean Kuraly,Christoffer Ehn,3
Tomas Hertl,Isac Lundestrom,3
Cody Eakin,Blake Lizotte,3
Frans Nielsen,Blake Lizotte,3
Mikko Koivu,Blake Lizotte,3
Artem Anisimov,Blake Lizotte,3
Jonathan Toews,Blake Lizotte,3
Ryan Carpenter,Blake Lizotte,3
Mark Scheifele,Blake Lizotte,3
Bryan Little,Blake Lizotte,3
Gaetan Haas,Blake Lizotte,3
Pavel Zacha,Sam Lafferty,3
Justin Dowling,Sam Lafferty,3
Jonathan Huberdeau,Sam Lafferty,3
Tomas Nosek,Sam Lafferty,3
Andrew Copp,Sam Lafferty,3
Mikko Koivu,Sam Lafferty,3
Max Domi,Barrett Hayton,3
Kevin Rooney,David Gustafsson,3
Carl Soderberg,David Gustafsson,3
Chris Tierney,Cole Bardreau,3
Boone Jenner,Cole Bardreau,3
Brad Richardson,Cole Bardreau,3
Vinnie Hinostroza,Cole Bardreau,3
Ryan Carpenter,Noah Gregor,3
Adrian Kempe,Kirby Dach,3
Sebastian Aho,Kirby Dach,3
Nate Thompson,Mikhail Vorobyev,3
Teddy Blueger,Mikhail Vorobyev,3
William Karlsson,Mikhail Vorobyev,3
Travis Zajac,J.C. Beaudin,3
Lucas Wallmark,J.C. Beaudin,3
Adrian Kempe,J.C. Beaudin,3
Blake Lizotte,J.C. Beaudin,3
Filip Chytil,J.C. Beaudin,3
Charlie Coyle,J.C. Beaudin,3
Tomas Nosek,Nikolai Prokhorkin,3
Paul Stastny,Nikolai Prokhorkin,3
Kevin Rooney,German Rubtsov,3
Barclay Goodrow,CJ Suess,3
Claude Giroux,Ryan Poehling,3
Ryan Strome,Derek Stepan,3
