first_player,second_player,faceoffs_together_count
Valtteri Filppula,Filip Chytil,11
Tyler Seguin,Teddy Blueger,11
Jay Beagle,Jack Hughes,11
Jonathan Toews,Jeff Carter,11
Phillip Danault,Anze Kopitar,11
Ryan O'Reilly,Anze Kopitar,11
Evgeni Malkin,Ryan Strome,11
Jonathan Toews,John Tavares,11
Jordan Staal,Mathew Barzal,11
Sean Monahan,Derek Stepan,11
Nathan MacKinnon,Derek Stepan,11
Ryan Strome,Cedric Paquette,11
Matt Duchene,Mikko Koivu,11
Jeff Carter,William Karlsson,11
Jonathan Toews,William Karlsson,11
Ryan Strome,Chris Tierney,11
Marcus Johansson,Logan Couture,11
Derek Grant,Tomas Hertl,11
Bo Horvat,Nico Hischier,11
Sebastian Aho,Jean-Gabriel Pageau,11
Mikko Koivu,Ryan Johansen,11
Patrice Bergeron,Paul Stastny,11
John Tavares,Cody Eakin,11
Brayden Schenn,Nate Thompson,11
Tomas Hertl,Tomas Nosek,11
Anze Kopitar,Paul Stastny,10
Ryan Carpenter,Paul Stastny,10
Dylan Larkin,Paul Stastny,10
Jonathan Toews,Cody Eakin,10
William Karlsson,Dylan Strome,10
Colin White,Lucas Wallmark,10
Jonathan Toews,Mark Scheifele,10
Claude Giroux,Sean Monahan,10
Sean Monahan,Nicklas Backstrom,10
Mikael Backlund,Jeff Carter,10
Adam Lowry,Bo Horvat,10
Pierre-Luc Dubois,Sidney Crosby,10
Phillip Danault,John Tavares,10
Nicklas Backstrom,Aleksander Barkov,10
Jordan Staal,Aleksander Barkov,10
Brayden Schenn,Jordan Weal,10
Noel Acciari,Erik Haula,10
Jonathan Toews,Adrian Kempe,10
Nico Hischier,Kevin Hayes,10
Charlie Coyle,Frans Nielsen,10
Matt Duchene,Dylan Larkin,10
Noel Acciari,Dylan Larkin,10
Dylan Larkin,Riley Sheahan,10
Anze Kopitar,Ryan Carpenter,10
Jack Eichel,Mika Zibanejad,10
Brad Richardson,Mika Zibanejad,10
Bo Horvat,Mika Zibanejad,10
Steven Stamkos,Filip Chytil,10
Jean-Gabriel Pageau,Brett Howden,10
Claude Giroux,Teddy Blueger,10
Steven Stamkos,Teddy Blueger,10
Joel Eriksson Ek,Blake Lizotte,10
Nick Bonino,Tomas Hertl,10
Phillip Danault,Tomas Hertl,10
Ryan O'Reilly,Patrice Bergeron,10
Nazem Kadri,Noel Acciari,10
Brandon Sutter,Noel Acciari,10
Steven Stamkos,Noel Acciari,10
Tyler Johnson,Noel Acciari,10
Jeff Carter,Valtteri Filppula,10
Ryan Getzlaf,Valtteri Filppula,10
Ryan Nugent-Hopkins,Valtteri Filppula,10
Brad Richardson,Ryan Johansen,10
Phillip Danault,Derek Stepan,10
Ryan O'Reilly,Max Domi,10
Phillip Danault,Brayden Schenn,10
Bo Horvat,Brayden Schenn,10
Nathan MacKinnon,Anthony Cirelli,10
Jordan Staal,Steven Stamkos,10
Max Domi,Radek Faksa,10
Ryan O'Reilly,Joel Eriksson Ek,10
Sidney Crosby,Joel Eriksson Ek,10
Anze Kopitar,Mikko Koivu,10
Sidney Crosby,William Karlsson,10
Claude Giroux,Auston Matthews,10
Claude Giroux,Chris Tierney,10
Mark Scheifele,Brad Richardson,9
Brandon Sutter,Brayden Schenn,9
Marcus Johansson,Travis Zajac,9
Sidney Crosby,Anthony Cirelli,9
Jack Eichel,Cedric Paquette,9
Ryan Strome,Steven Stamkos,9
Elias Lindholm,Radek Faksa,9
Sidney Crosby,Connor McDavid,9
Radek Faksa,Derek Ryan,9
Jordan Staal,Mikko Koivu,9
John Tavares,Mikko Koivu,9
Tyler Seguin,Cam Atkinson,9
Brayden Schenn,Alexander Wennberg,9
Ryan O'Reilly,Alexander Wennberg,9
Claude Giroux,Alexander Wennberg,9
Sebastian Aho,Alexander Wennberg,9
Sebastian Aho,Chris Tierney,9
Jordan Staal,Chris Tierney,9
Boone Jenner,Jared McCann,9
Joe Thornton,Charlie Coyle,9
Riley Nash,Erik Haula,9
Derick Brassard,Erik Haula,9
Jordan Staal,Kevin Hayes,9
Adam Henrique,Dylan Larkin,9
Jack Eichel,Dylan Larkin,9
Bo Horvat,Ryan Carpenter,9
Nazem Kadri,Colton Sissons,9
Dylan Larkin,Colton Sissons,9
Eric Staal,Colton Sissons,9
Tomas Hertl,Jonathan Marchessault,9
Jean-Gabriel Pageau,Paul Stastny,9
Chris Tierney,Cody Eakin,9
Jordan Staal,Nick Paul,9
Mikko Koivu,Colin White,9
Jack Eichel,Barclay Goodrow,9
Paul Stastny,Barclay Goodrow,9
Jonathan Toews,Adam Henrique,9
Carl Soderberg,Nathan MacKinnon,9
Carl Soderberg,Eric Staal,9
Ryan O'Reilly,Sean Monahan,9
Mikael Backlund,Evgeny Kuznetsov,9
Ryan O'Reilly,Jay Beagle,9
Sean Monahan,Jeff Carter,9
Mark Scheifele,Anze Kopitar,9
Matt Duchene,Anze Kopitar,9
Tyler Bozak,Bo Horvat,9
Elias Lindholm,Bo Horvat,9
Phillip Danault,Alexander Kerfoot,9
Bo Horvat,Leon Draisaitl,9
Claude Giroux,Sidney Crosby,9
Mark Letestu,Sidney Crosby,9
Bo Horvat,Tyler Seguin,9
Ryan O'Reilly,Tyler Seguin,9
Boone Jenner,Jason Spezza,9
Evgeni Malkin,Brock Nelson,9
Sean Couturier,Brock Nelson,9
Bo Horvat,Nic Dowd,9
Ryan Nugent-Hopkins,Derek Stepan,9
Lars Eller,Joe Pavelski,9
Phillip Danault,Logan Couture,9
Elias Lindholm,Logan Couture,9
Jay Beagle,Tomas Hertl,9
Anthony Cirelli,Patrice Bergeron,9
Pierre-Edouard Bellemare,Patrice Bergeron,9
Patrice Bergeron,Nico Hischier,9
Tomas Hertl,Jean-Gabriel Pageau,9
Eric Staal,Jean-Gabriel Pageau,9
Mikael Backlund,Jonathan Huberdeau,9
Tomas Hertl,Ryan Johansen,9
William Karlsson,Ryan Johansen,9
Nicklas Backstrom,Ryan Johansen,9
Leon Draisaitl,Teddy Blueger,9
Riley Sheahan,Sam Steel,9
Kevin Hayes,Jack Hughes,9
Derek Stepan,Jack Hughes,9
Noel Acciari,Jack Hughes,9
Joe Thornton,Casey Mittelstadt,8
Valtteri Filppula,Gaetan Haas,8
Tomas Hertl,Cody Glass,8
Dylan Larkin,Brett Howden,8
Jonathan Toews,Teddy Blueger,8
Joe Thornton,Jesperi Kotkaniemi,8
Mikko Koivu,Jesperi Kotkaniemi,8
Jacob de la Rose,Jesperi Kotkaniemi,8
Cody Eakin,Sam Steel,8
Radek Faksa,Sam Steel,8
Anthony Cirelli,Jack Hughes,8
Paul Stastny,Blake Lizotte,8
Brad Richardson,Paul Stastny,8
Anze Kopitar,Cody Eakin,8
Jeff Carter,Cody Eakin,8
Mark Scheifele,Cody Eakin,8
Jean-Gabriel Pageau,Cody Eakin,8
Tyler Bozak,Nate Thompson,8
Jack Eichel,Nate Thompson,8
Connor McDavid,David Kampf,8
Brayden Schenn,Colin White,8
Matt Duchene,Barclay Goodrow,8
Anze Kopitar,Dylan Strome,8
Jay Beagle,Michael Amadio,8
Lucas Wallmark,Kevin Rooney,8
Claude Giroux,Kevin Rooney,8
Nate Thompson,Dylan Gambrell,8
Pierre-Edouard Bellemare,Derek Stepan,8
Mark Scheifele,Derek Stepan,8
Derek Grant,Derek Stepan,8
Evgeny Kuznetsov,Max Domi,8
Eric Staal,Max Domi,8
Max Domi,Brayden Schenn,8
Brock Nelson,Brayden Schenn,8
Nicklas Backstrom,Brayden Schenn,8
Brandon Sutter,Travis Zajac,8
Adam Lowry,Travis Zajac,8
Sean Couturier,Travis Zajac,8
Carl Soderberg,Travis Zajac,8
Jack Eichel,Steven Stamkos,8
Nick Bonino,Steven Stamkos,8
Jack Eichel,Brayden Point,8
Sidney Crosby,Brayden Point,8
John Tavares,Brayden Point,8
Sidney Crosby,Radek Faksa,8
Nathan MacKinnon,Connor McDavid,8
Travis Zajac,Connor McDavid,8
Nicklas Backstrom,Connor McDavid,8
Christian Dvorak,Joel Eriksson Ek,8
Derek Stepan,Joel Eriksson Ek,8
Mark Scheifele,Mikko Koivu,8
Tyler Bozak,Alexander Wennberg,8
Brock Nelson,Alexander Wennberg,8
Pierre-Luc Dubois,William Karlsson,8
Jonathan Toews,Auston Matthews,8
Ryan Getzlaf,Joe Thornton,8
Mark Scheifele,Jared McCann,8
Adam Lowry,Aleksander Barkov,8
Claude Giroux,Frederik Gauthier,8
Frederik Gauthier,Charlie Coyle,8
Travis Zajac,Erik Haula,8
Boone Jenner,Erik Haula,8
Joe Thornton,Erik Haula,8
Tyler Johnson,Erik Haula,8
Alexander Kerfoot,Kevin Hayes,8
Connor McDavid,Dylan Larkin,8
Radek Faksa,Dylan Larkin,8
Tyler Seguin,Dylan Larkin,8
Nazem Kadri,Riley Sheahan,8
Nico Hischier,Riley Sheahan,8
Tomas Hertl,Ryan Carpenter,8
Nicklas Backstrom,Ryan Carpenter,8
Cedric Paquette,Lias Andersson,8
Sean Monahan,Colton Sissons,8
Jonathan Toews,Colton Sissons,8
Mikko Koivu,Colton Sissons,8
Adam Henrique,Colton Sissons,8
Casey Cizikas,Chris Tierney,8
Eric Staal,Chris Tierney,8
Max Domi,Logan Couture,8
Jordan Staal,Logan Couture,8
Mikael Backlund,Tomas Hertl,8
Chris Tierney,Patrice Bergeron,8
Tomas Hertl,Patrice Bergeron,8
Gabriel Landeskog,Patrice Bergeron,8
Leon Draisaitl,Noel Acciari,8
Elias Lindholm,Noel Acciari,8
Sidney Crosby,Noel Acciari,8
Chris Tierney,Valtteri Filppula,8
Leon Draisaitl,Nico Hischier,8
Jack Eichel,Nico Hischier,8
Mathew Barzal,Jean-Gabriel Pageau,8
William Karlsson,Jean-Gabriel Pageau,8
Alexander Wennberg,Nick Bjugstad,8
Gemel Smith,Vincent Trocheck,8
Logan Couture,Ryan Johansen,8
Jonathan Toews,Ryan Getzlaf,8
Pierre-Edouard Bellemare,Ryan Getzlaf,8
Ryan O'Reilly,Nathan MacKinnon,8
Ryan O'Reilly,Eric Staal,8
Matt Duchene,Eric Staal,8
Adam Lowry,Elias Lindholm,8
Mark Scheifele,Elias Lindholm,8
Mark Scheifele,Mikael Backlund,8
Claude Giroux,Nicklas Backstrom,8
Jack Eichel,Nicklas Backstrom,8
Mark Jankowski,Lars Eller,8
Matt Duchene,Lars Eller,8
Ryan O'Reilly,Lars Eller,8
Derek Grant,Nazem Kadri,8
Jonathan Toews,Anze Kopitar,8
Jack Eichel,Anze Kopitar,8
Ryan Getzlaf,Bo Horvat,8
Jonathan Toews,Brandon Sutter,8
Nicklas Backstrom,Brandon Sutter,8
Jeff Carter,Alexander Kerfoot,8
Artem Anisimov,Alexander Kerfoot,8
Nicklas Backstrom,Leon Draisaitl,8
Adam Lowry,Leon Draisaitl,8
Bryan Little,Ryan Nugent-Hopkins,8
Nazem Kadri,Tyler Seguin,8
Adam Henrique,Tyler Seguin,8
Boone Jenner,John Tavares,8
John Tavares,Casey Cizikas,8
Lars Eller,Derek Stepan,8
Victor Rask,Nikolai Prokhorkin,8
