Player,embedding
Niklas Hjalmarsson,"[0.14708761574782075,0.0994095475799595,0.14422969961789892,0.1163812334897038,0.14312419409173532,0.09858950525563863,0.09919719496463897,0.16172736535973864,0.10542706258310541,0.14194833145987928,0.15677265360835002,0.1448187033082695,0.07057989958318252,0.09756701748913656,0.14828910281020216,0.15128817465168667,0.09186416754423758,0.10088247853422384,0.07874900248514403,0.12422585479235536,0.0824977240838075,0.11606977811137502,0.11370662816463857,0.13225416488241254,0.1575415877344644,0.14552582558418042,0.10637305219494103,0.11342593860321283,0.09887101850330342,0.10585124843210063,0.07561782661418602,0.13493262162029432,0.09224092120776692,0.11049404798538583,0.15528989881680835,0.10701209314677058,0.1629084705604686,0.16222220798108938,0.1311621960671153,0.09482160905658368,0.16192797169204037,0.16300728705073628,0.13739776567208126,0.14311927658056753,0.13413900369115292,0.10820793831342113,0.08715931679083241,0.14857434747186557,0.11475899052634109,0.07366091997577529,0.16975844046609959,0.09997723481459768,0.1256432852363839,0.14533563516212267,0.1722255716568039,0.09899880481889398,0.09848423377162968,0.10329858895339197,0.08462850768496279,0.07337280507269471,0.16509375909662918,0.11812621740840248,0.14959565207714606,0.09256283583070532]"
Brent Seabrook,"[0.1470086076482695,0.0990711574503254,0.14400353260865603,0.1163484927032046,0.14283321886370878,0.097990455859415,0.09903516112212471,0.1620623262257362,0.10520007851892742,0.1419960155069458,0.15704674257778856,0.14497843071444616,0.07039533374463619,0.09733875262266813,0.14808479784389478,0.15146806054085257,0.09206702399967762,0.1003050512831965,0.07860038346274043,0.12484901757659227,0.08220018632012846,0.1163824324814099,0.11401349726495909,0.1321401884495401,0.15792881995985786,0.14497813060327594,0.10625835906046299,0.11330621169430062,0.09887121332019815,0.10586811877033818,0.07527615890032796,0.13493153719315246,0.09205348979664117,0.10997348510964348,0.15533301519728568,0.106827127203447,0.1627077207642022,0.1625328138911187,0.13166066169845192,0.09472354894009549,0.162009343905052,0.16308447744886942,0.13752009433010548,0.14365525854648672,0.13474824759638257,0.108911073720968,0.08662673181567739,0.14873171025956203,0.11477103454197084,0.0735089511505903,0.1701864833035982,0.10002390564480271,0.1254699214850955,0.14535793252196685,0.17235302431586805,0.09851729451081656,0.09821215906036798,0.10356031555660859,0.08406001931078644,0.07303154300192674,0.16496109131516476,0.11781208102415715,0.14982775272610177,0.09229962025511122]"
Richard Panik,"[0.14698308776903893,0.09923806534080937,0.14409579907980713,0.11640814718635605,0.14294021699669496,0.09832600372932883,0.09914024198241825,0.16193626509835415,0.10531829903015694,0.14196054873730035,0.1569360809424844,0.1448884160857455,0.07051261201696954,0.09748059303467353,0.14815740244127912,0.15141432375772915,0.09198808577934663,0.10057491639638409,0.07869913754740526,0.12456445131897796,0.08235420976173395,0.11626588989063609,0.11389652162278145,0.1321551102789039,0.15771519467030579,0.14520642447165336,0.1063312234185484,0.1133679062753797,0.09884953257256984,0.10588201335438928,0.0754774007740098,0.13490420859326416,0.0921287163287451,0.11020722693218375,0.1552932326869835,0.10690105866155064,0.16277446532392434,0.1624013659662242,0.13143907540895666,0.09476929010723979,0.1619240696854062,0.16304479003015335,0.1375103311003547,0.14341568308524494,0.1344983127912867,0.1085997054984725,0.08691479450452594,0.14864073467985833,0.11477597493582943,0.07361009696295387,0.17001770530827676,0.09998710790048448,0.12556671136055356,0.1453061691738991,0.1722604417305532,0.09875055163321823,0.09835027175323777,0.10344948722846048,0.08433768823278122,0.07319442257132093,0.16500882728805197,0.11792684724436438,0.14969399131771435,0.09239876318209056]"
Jonathan Toews,"[0.147073816125237,0.09900377327646898,0.1439787450136514,0.11628717635671625,0.14281642463535368,0.0978386407291845,0.09897764981337728,0.1620763911854112,0.10515462545919721,0.14201105749754497,0.1570715091992716,0.14501905539165033,0.07033201456781668,0.0972688297498698,0.1480702746531819,0.15146142360589274,0.09206616065255985,0.10021915903689281,0.07853711952183967,0.12492872099292475,0.08214817866843156,0.11640052142669474,0.11403900702654352,0.13215843227067306,0.1580424332478898,0.14491789465380298,0.10621781368656881,0.11327018073048292,0.09889915427909397,0.10585209005259866,0.07517916068243291,0.13495874026263696,0.0920428599306161,0.10989425680969221,0.15536710468549472,0.10679746098978751,0.16269772632660343,0.16256494163108823,0.13172732800538137,0.09471396641330929,0.16208039119400297,0.16310513768984095,0.13747878765933572,0.14374192932654473,0.13480684047438668,0.10899755017491264,0.08649952028047515,0.14878412015004247,0.11475462871625734,0.07346029797563663,0.1702120805543093,0.10004938386960519,0.12542991402909967,0.14540702280688136,0.17240929693042234,0.09842808885947618,0.098163209931428,0.1036013551251275,0.08395423608334639,0.07298291694792719,0.1649491690428826,0.11780474659738634,0.1498976067995275,0.092291345852522]"
Duncan Keith,"[0.14710550265043654,0.09901459114851255,0.14398877087574422,0.11627290604822975,0.14284508447189012,0.09784657521238552,0.09897784165452521,0.16204066250456386,0.10516235385279564,0.1420039243141313,0.15705072202161252,0.14501450436265326,0.07033151200837524,0.09726694026824631,0.14808579088198945,0.1514426272045333,0.09203847721854368,0.10024777400042256,0.07852905367149253,0.1248907074310865,0.0821618862657702,0.11637068592267306,0.11401412639487962,0.13217997771362563,0.15804445034053516,0.14494984020640492,0.10621569499722355,0.1132670074238327,0.09890900532803427,0.10584559227653426,0.07517850167137315,0.13496860237408548,0.09205747722492252,0.10992301802679424,0.15537996732173165,0.10680775691443266,0.16271440975627638,0.16253946165966293,0.13170018773942066,0.09472453887948497,0.1621005428683071,0.16310447967503144,0.13744919293765934,0.14372022279784633,0.13476215254120008,0.10895644129946282,0.08651060102271019,0.14878452239082185,0.11474862106605611,0.07345751477957349,0.17017511254933118,0.10005644711759823,0.1254324207087215,0.14542323303120996,0.17241674813006627,0.09844899055977083,0.09817963232218475,0.10359259105556103,0.08397558839845294,0.07300239426822203,0.16496225061215208,0.11783497286481003,0.14990005678207732,0.09231424182153226]"
Patrick Kane,"[0.14710346559033297,0.09937109416930849,0.14419700695627843,0.11636362006077533,0.1431018857358707,0.09855148753207624,0.09918827238428586,0.1617367188816358,0.10541596714968855,0.14192023134930956,0.15679253023825104,0.14482232623027455,0.07057032496566622,0.09755522084456487,0.14825844626904688,0.1513018036692623,0.09183770790551637,0.10085617171810425,0.0787174680884116,0.124245194301141,0.08250096837539694,0.11608781799799368,0.11373759806094635,0.1322357261948866,0.15760646231458086,0.1454671741046156,0.1063654302319807,0.11338551394594479,0.09888834546690499,0.10586147489129058,0.07559437379819405,0.13492875479152183,0.0922387165832674,0.1104411402763359,0.15531595804560117,0.10696800493641265,0.16287283393425897,0.16223691609999155,0.13120449757909156,0.09483570308837386,0.16195449639231074,0.16302205454244736,0.13738735877474295,0.14319227345333077,0.13417581505864445,0.1082529926383182,0.08711893605675221,0.14860193991590753,0.11474185077535824,0.07366565612636201,0.16976935327025738,0.09999209194498904,0.1256385458892952,0.14534061849406416,0.17224197441052844,0.09895981181504226,0.09848260495808937,0.10335646895988979,0.08457669199791362,0.07337071063269407,0.1650708300240323,0.11812018363126567,0.14962909984135558,0.09256118296070967]"
Vinnie Hinostroza,"[0.14706124504755586,0.09930107536309933,0.14415797039011857,0.11637257071897107,0.1430300312081245,0.0984051478887518,0.0991475660073973,0.16183485502490916,0.10535592353337433,0.1419605462271136,0.1568594298666583,0.14486683574121056,0.07052420739676873,0.09749582520060983,0.14822366922323424,0.15134666765512383,0.09192836024572482,0.10070370807080686,0.07870252948685548,0.12441956979350142,0.08240618592666321,0.1161682822716968,0.11380296427289185,0.1322147685620169,0.1576622010040785,0.14535266476854752,0.1063382390159148,0.11338462619428111,0.09887486908249225,0.10585803783668561,0.07551193359826763,0.13493251308284304,0.09218411847131107,0.11032820130712971,0.15530367050203192,0.1069495807157494,0.16284400135243798,0.1623204526602474,0.13132053478935898,0.09479399456974415,0.16195310703886132,0.16303250191197427,0.1374406669596047,0.14328865216599068,0.13433073453266195,0.10842989845070407,0.08699350647497184,0.14862340496622478,0.11476230936042034,0.07361472952043868,0.16989372493655158,0.09999246563378829,0.12559065920388943,0.1453415974966875,0.1722651781092582,0.09884745684444306,0.09839935091694528,0.1033842772268364,0.0844491590416088,0.07326840671068743,0.16504854258569468,0.11802764520512574,0.1496675897212309,0.0924787057048124]"
Nick Schmaltz,"[0.14695516250830593,0.09914898495932364,0.14403891859373386,0.11640076396538396,0.14285721053609327,0.09816995910829078,0.09909593427108351,0.16203444155751953,0.10525718920127794,0.14197852907867403,0.15701119229048718,0.14493122642933112,0.07046392297449457,0.09742123341234582,0.14810316483543098,0.1514636489540348,0.09205202228707547,0.10042163756842498,0.07866373081859795,0.12473454593421171,0.08227258357378202,0.11635368175793857,0.11398000915035494,0.1321200858708201,0.15781039625773519,0.14506154112530315,0.10630249290578858,0.11333975859530339,0.0988490388495874,0.1058858814947724,0.0753901427310743,0.13490313770138235,0.09207794050179295,0.11006653631543582,0.15529834671676396,0.10685200759100184,0.16272092231554988,0.16248934365575782,0.13157281373574253,0.09473990200294721,0.16193863226311328,0.16306446309931175,0.13755102221490756,0.14355353035485396,0.13466417526891417,0.10878950292155108,0.08677493683948438,0.14868101590751076,0.114779960669333,0.07357100490192546,0.1701370820378539,0.09999650883495009,0.12552185231581,0.14530838387613007,0.17229226015417462,0.09862188058066154,0.09827250071439578,0.10351546228919768,0.0841871248020444,0.07310120957039318,0.16497007235021885,0.1178393159561903,0.1497515188511282,0.0923264529832234]"
Artem Anisimov,"[0.1471039577694223,0.09907793638970233,0.14403185064995505,0.11628972306366575,0.14289323105844853,0.09794174199493118,0.09900584528144202,0.16199382806629292,0.10519764343337411,0.14201105357646143,0.15700689160863937,0.14499323072564865,0.07036195461360628,0.09730277706012819,0.14812597835683364,0.15141446481856874,0.0920254325897803,0.10033082744029388,0.0785643247761702,0.12480585061482727,0.08219745568038742,0.11632336436683774,0.11396000379638699,0.13220390855364605,0.1579611594610637,0.14504360546200468,0.10623493036477291,0.11330515635909176,0.09889745434982469,0.10584028494964033,0.07523407519842257,0.13496971011222936,0.09208010930108648,0.11001454043732704,0.15536119483931515,0.10685601083354601,0.16275697778199907,0.16249306769956423,0.13161638897541109,0.09472982948092439,0.1620761480414259,0.16308606404853665,0.13744033877594403,0.1436172059219603,0.13466893503759472,0.10884839573596782,0.08659835821073962,0.14874798504155837,0.1147580482292371,0.0734745006858135,0.17011808581151514,0.10004236372255473,0.12545628235530856,0.14541676560213873,0.17239030075178607,0.09853041167019733,0.0982155305510266,0.10353063850643028,0.08407435668032871,0.07304558993722748,0.16499358683907314,0.11787484333142824,0.14985336401908117,0.09234601638832333]"
Artemi Panarin,"[0.1470019152997071,0.09948354077773443,0.14425070635217635,0.11645757400958487,0.14313052495143017,0.09878400422365735,0.09927101652289616,0.1617182541762084,0.10548432100706069,0.14191919452624482,0.15674982734803253,0.14476454168488542,0.0706621130969005,0.09765920020425231,0.14829326900360365,0.15130374050502557,0.09185904304814967,0.10098826914438026,0.07882362950454358,0.12412654901168216,0.08257083615256422,0.11605781023759262,0.1136885396018784,0.13221489876351444,0.15741303283976235,0.1455823636964557,0.10642511230666868,0.11345716589640195,0.09884061894488522,0.10587932920771612,0.07574281988537065,0.134892262239435,0.09225549177172215,0.11057431018242403,0.1552496075693314,0.1070280002120216,0.16290496937654045,0.16218855367349352,0.13109089606765473,0.09483937050288302,0.16183821691893854,0.16298614145679594,0.13745500035342728,0.14303300499030625,0.1340803890820226,0.10811120021559778,0.08731638823647023,0.1485154202239255,0.11477393913220221,0.07373178153378454,0.16973170397914808,0.09994620020796698,0.12569806851416584,0.1452673795746081,0.17215277849792557,0.09910007949558912,0.09854722857137134,0.10326726483652263,0.08475010223384194,0.07343836717157784,0.16509427251964234,0.11813136708183603,0.14951204105515933,0.09257086760126436]"
